,temperature,time,expiration,age,has_children,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,income_min,income_max,destination_Home,destination_No_Urgent_Place,destination_Work,passanger_Alone,passanger_Friends,passanger_Kids,passanger_Partner,weather_Rainy,weather_Snowy,weather_Sunny,coupon_Bar,coupon_Carry_out__Take_away,coupon_Coffee_House,coupon_Restaurant20_50,coupon_Restaurantlt20,gender_Male,maritalStatus_Divorced,maritalStatus_Married_partner,maritalStatus_Single,maritalStatus_Unmarried_partner,maritalStatus_Widowed,education_Associates_degree,education_Bachelors_degree,education_Graduate_degree_Masters_or_Doctorate,education_High_School_Graduate,education_Some_High_School,education_Some_college_no_degree,occupation_Architecture__Engineering,occupation_Arts_Design_Entertainment_Sports__Media,occupation_Building__Grounds_Cleaning__Maintenance,occupation_Business__Financial,occupation_Community__Social_Services,occupation_Computer__Mathematical,occupation_Construction__Extraction,occupation_EducationTrainingLibrary,occupation_Farming_Fishing__Forestry,occupation_Food_Preparation__Serving_Related,occupation_Healthcare_Practitioners__Technical,occupation_Healthcare_Support,occupation_Installation_Maintenance__Repair,occupation_Legal,occupation_Life_Physical_Social_Science,occupation_Management,occupation_Office__Administrative_Support,occupation_Personal_Care__Service,occupation_Production_Occupations,occupation_Protective_Service,occupation_Retired,occupation_Sales__Related,occupation_Student,occupation_Transportation__Material_Moving,occupation_Unemployed,Bar_1_3,Bar_4_8,Bar_gt8,Bar_less1,Bar_never,CoffeeHouse_1_3,CoffeeHouse_4_8,CoffeeHouse_gt8,CoffeeHouse_less1,CoffeeHouse_never,CarryAway_1_3,CarryAway_4_8,CarryAway_gt8,CarryAway_less1,CarryAway_never,RestaurantLessThan20_1_3,RestaurantLessThan20_4_8,RestaurantLessThan20_gt8,RestaurantLessThan20_less1,RestaurantLessThan20_never,Restaurant20To50_1_3,Restaurant20To50_4_8,Restaurant20To50_gt8,Restaurant20To50_less1,Restaurant20To50_never
0,80,18,24,20,0,0,0,0,1,0,12500,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,80,18,2,21,0,1,0,1,0,12500,24999,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2,55,10,24,26,1,1,0,0,1,25000,37499,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,80,18,24,51,1,1,0,0,1,50000,62499,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
4,30,7,24,26,0,1,0,0,1,75000,87499,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5,80,18,24,26,1,0,0,1,0,100000,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
6,80,18,24,46,0,0,0,1,0,12500,24999,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7,80,10,2,51,0,1,0,0,1,50000,62499,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
8,80,22,24,31,0,1,0,0,1,75000,87499,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9,80,7,2,31,0,0,0,1,0,100000,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10,80,10,24,21,0,0,0,0,1,37500,49999,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
